Date,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns,Ticker,Adj Close,Target_400_buy,Target_400_sell,Datelogic,combine,LO,Trade,TradeQut,TotalQut,Cash,Target_400_exp,returns
2023-02-01,SPY,409.2381286621094,400,400,1,-0.1,0.7000000000000001,-0.09999999999999998,-2.0,14.0,4676.098876953125,10405.432678222656,0.006661483966731385,SPY,409.2381286621094,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,409.2381286621094,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,409.2381286621094,400,400,1,-0.1,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,409.2381286621094,400,400,0,-0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10405.432678222656,0.006661483966731385
2023-02-02,SPY,415.1954040527344,400,400,1,-0.1,0.6000000000000001,-0.09999999999999998,-2.0,12.0,5506.489685058594,10488.834533691406,0.008015222244751152,SPY,415.1954040527344,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,415.1954040527344,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,415.1954040527344,400,400,1,-0.1,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,415.1954040527344,400,400,0,-0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10500.749084472656,0.009160253994001222
2023-02-03,SPY,410.7822570800781,400,400,1,-0.1,0.5000000000000001,-0.09999999999999998,-2.0,10.0,6328.05419921875,10435.876770019531,-0.005048965497717384,SPY,410.7822570800781,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,410.7822570800781,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,410.7822570800781,400,400,1,-0.1,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,410.7822570800781,400,400,0,-0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10430.138732910156,-0.0067243156649567926
2023-02-06,SPY,408.2718200683594,400,400,1,-0.1,0.40000000000000013,-0.09999999999999998,-2.0,8.0,7144.597839355469,10410.772399902344,-0.0024055832270181154,SPY,408.2718200683594,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,408.2718200683594,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,408.2718200683594,400,400,1,-0.1,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,408.2718200683594,400,400,0,-0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10389.971740722656,-0.0038510506155360336
2023-02-07,SPY,413.6114501953125,400,400,1,-0.1,0.30000000000000016,-0.09999999999999998,-2.0,6.0,7971.820739746094,10453.489440917969,0.004103157707685989,SPY,413.6114501953125,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,413.6114501953125,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,413.6114501953125,400,400,1,-0.1,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,413.6114501953125,400,400,0,-0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10475.405822753906,0.008222744408090898
2023-02-08,SPY,409.0887145996094,400,400,1,-0.1,0.20000000000000015,-0.1,-2.0,4.0,8789.998168945312,10426.35302734375,-0.002595919164370075,SPY,409.0887145996094,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,409.0887145996094,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,409.0887145996094,400,400,1,-0.1,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,409.0887145996094,400,400,0,-0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10403.042053222656,-0.006907968126071751
2023-02-09,SPY,405.542236328125,400,400,1,-0.1,0.10000000000000014,-0.1,-2.0,2.0,9601.082641601562,10412.167114257812,-0.0013605824633727837,SPY,405.542236328125,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,405.542236328125,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,405.542236328125,400,400,1,-0.1,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,405.542236328125,400,400,0,-0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10346.298400878906,-0.005454524941209127
2023-02-10,SPY,406.4886474609375,400,400,1,-0.1,1.3877787807814457e-16,-0.1,-2.0,0.0,10414.059936523438,10414.059936523438,0.00018178946273672558,SPY,406.4886474609375,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,406.4886474609375,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,406.4886474609375,400,400,1,-0.1,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,406.4886474609375,400,400,0,-0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10361.440979003906,0.0014635744628932468
2023-02-13,SPY,411.2604064941406,400,400,1,-0.1,0.0,-1.3877787807814457e-16,-0.0,0.0,10414.059936523438,10414.059936523438,0.0,SPY,411.2604064941406,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,411.2604064941406,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,411.2604064941406,400,400,1,-0.1,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,411.2604064941406,400,400,0,-0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10437.789123535156,0.007368487132818569
2023-02-14,SPY,411.0711669921875,400,400,1,-0.1,0.0,0.0,0.0,0.0,10414.059936523438,10414.059936523438,0.0,SPY,411.0711669921875,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,411.0711669921875,400,400,0,-0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,411.0711669921875,400,400,1,-0.1,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,SPY,411.0711669921875,400,400,0,-0.0,0.8,0.0,0.0,16.0,3857.6226196289062,10434.761291503906,-0.00029008365616645104
